file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,70ce2537,Beliz Akbulut,2026-04-06,22:26:09,-07:00,2026-04-06T22:26:09-07:00,0,5
style.css,2,css,70ce2537,Beliz Akbulut,2026-04-06,22:26:09,-07:00,2026-04-06T22:26:09-07:00,2,31
style.css,3,css,c1006619,Beliz Akbulut,2026-04-15,18:14:07,-07:00,2026-04-15T18:14:07-07:00,2,23
style.css,4,css,716f54eb,Beliz Akbulut,2026-05-01,18:06:27,-07:00,2026-05-01T18:06:27-07:00,2,24
style.css,5,css,70ce2537,Beliz Akbulut,2026-04-06,22:26:09,-07:00,2026-04-06T22:26:09-07:00,0,0
style.css,6,css,70ce2537,Beliz Akbulut,2026-04-06,22:26:09,-07:00,2026-04-06T22:26:09-07:00,0,7
style.css,7,css,70ce2537,Beliz Akbulut,2026-04-06,22:26:09,-07:00,2026-04-06T22:26:09-07:00,2,45
style.css,8,css,c1006619,Beliz Akbulut,2026-04-15,18:14:07,-07:00,2026-04-15T18:14:07-07:00,2,69
style.css,9,css,70ce2537,Beliz Akbulut,2026-04-06,22:26:09,-07:00,2026-04-06T22:26:09-07:00,0,0
style.css,10,css,70ce2537,Beliz Akbulut,2026-04-06,22:26:09,-07:00,2026-04-06T22:26:09-07:00,0,0
style.css,11,css,a1df1c07,Beliz Akbulut,2026-04-01,00:19:21,-07:00,2026-04-01T00:19:21-07:00,0,4
style.css,12,css,a1df1c07,Beliz Akbulut,2026-04-01,00:19:21,-07:00,2026-04-01T00:19:21-07:00,2,68
style.css,13,css,a1df1c07,Beliz Akbulut,2026-04-01,00:19:21,-07:00,2026-04-01T00:19:21-07:00,2,20
style.css,14,css,a1df1c07,Beliz Akbulut,2026-04-01,00:19:21,-07:00,2026-04-01T00:19:21-07:00,2,23
style.css,15,css,c30db825,Beliz Akbulut,2026-04-06,21:24:53,-07:00,2026-04-06T21:24:53-07:00,2,15
style.css,16,css,c30db825,Beliz Akbulut,2026-04-06,21:24:53,-07:00,2026-04-06T21:24:53-07:00,2,18
style.css,17,css,fe64d250,Beliz Akbulut,2026-04-06,21:28:51,-07:00,2026-04-06T21:28:51-07:00,2,12
style.css,18,css,70ce2537,Beliz Akbulut,2026-04-06,22:26:09,-07:00,2026-04-06T22:26:09-07:00,2,32
style.css,19,css,d6117999,Beliz Akbulut,2026-04-06,21:40:24,-07:00,2026-04-06T21:40:24-07:00,0,0
style.css,20,css,d6117999,Beliz Akbulut,2026-04-06,21:40:24,-07:00,2026-04-06T21:40:24-07:00,0,0
style.css,21,css,d6117999,Beliz Akbulut,2026-04-06,21:40:24,-07:00,2026-04-06T21:40:24-07:00,0,2
style.css,22,css,d6117999,Beliz Akbulut,2026-04-06,21:40:24,-07:00,2026-04-06T21:40:24-07:00,2,16
style.css,23,css,d6117999,Beliz Akbulut,2026-04-06,21:40:24,-07:00,2026-04-06T21:40:24-07:00,0,0
style.css,24,css,d6117999,Beliz Akbulut,2026-04-06,21:40:24,-07:00,2026-04-06T21:40:24-07:00,0,0
style.css,25,css,d6117999,Beliz Akbulut,2026-04-06,21:40:24,-07:00,2026-04-06T21:40:24-07:00,0,2
style.css,26,css,d6117999,Beliz Akbulut,2026-04-06,21:40:24,-07:00,2026-04-06T21:40:24-07:00,2,16
style.css,27,css,d6117999,Beliz Akbulut,2026-04-06,21:40:24,-07:00,2026-04-06T21:40:24-07:00,0,0
style.css,28,css,d6117999,Beliz Akbulut,2026-04-06,21:40:24,-07:00,2026-04-06T21:40:24-07:00,0,0
style.css,29,css,d6117999,Beliz Akbulut,2026-04-06,21:40:24,-07:00,2026-04-06T21:40:24-07:00,0,3
style.css,30,css,c1006619,Beliz Akbulut,2026-04-15,18:14:07,-07:00,2026-04-15T18:14:07-07:00,2,39
style.css,31,css,d6117999,Beliz Akbulut,2026-04-06,21:40:24,-07:00,2026-04-06T21:40:24-07:00,2,12
style.css,32,css,d83913e7,Beliz Akbulut,2026-04-06,21:49:52,-07:00,2026-04-06T21:49:52-07:00,2,18
style.css,33,css,d83913e7,Beliz Akbulut,2026-04-06,21:49:52,-07:00,2026-04-06T21:49:52-07:00,2,23
style.css,34,css,d83913e7,Beliz Akbulut,2026-04-06,21:49:52,-07:00,2026-04-06T21:49:52-07:00,2,25
style.css,35,css,c1006619,Beliz Akbulut,2026-04-15,18:14:07,-07:00,2026-04-15T18:14:07-07:00,2,39
style.css,36,css,d6117999,Beliz Akbulut,2026-04-06,21:40:24,-07:00,2026-04-06T21:40:24-07:00,0,0
style.css,37,css,d6117999,Beliz Akbulut,2026-04-06,21:40:24,-07:00,2026-04-06T21:40:24-07:00,0,5
style.css,38,css,d6117999,Beliz Akbulut,2026-04-06,21:40:24,-07:00,2026-04-06T21:40:24-07:00,2,6
style.css,39,css,d83913e7,Beliz Akbulut,2026-04-06,21:49:52,-07:00,2026-04-06T21:49:52-07:00,2,20
style.css,40,css,d83913e7,Beliz Akbulut,2026-04-06,21:49:52,-07:00,2026-04-06T21:49:52-07:00,2,13
style.css,41,css,d83913e7,Beliz Akbulut,2026-04-06,21:49:52,-07:00,2026-04-06T21:49:52-07:00,2,17
style.css,42,css,d83913e7,Beliz Akbulut,2026-04-06,21:49:52,-07:00,2026-04-06T21:49:52-07:00,2,13
style.css,43,css,d83913e7,Beliz Akbulut,2026-04-06,21:49:52,-07:00,2026-04-06T21:49:52-07:00,0,0
style.css,44,css,d83913e7,Beliz Akbulut,2026-04-06,21:49:52,-07:00,2026-04-06T21:49:52-07:00,0,0
style.css,45,css,d83913e7,Beliz Akbulut,2026-04-06,21:49:52,-07:00,2026-04-06T21:49:52-07:00,0,8
style.css,46,css,d83913e7,Beliz Akbulut,2026-04-06,21:49:52,-07:00,2026-04-06T21:49:52-07:00,2,43
style.css,47,css,d83913e7,Beliz Akbulut,2026-04-06,21:49:52,-07:00,2026-04-06T21:49:52-07:00,2,21
style.css,48,css,d83913e7,Beliz Akbulut,2026-04-06,21:49:52,-07:00,2026-04-06T21:49:52-07:00,0,0
style.css,49,css,70ce2537,Beliz Akbulut,2026-04-06,22:26:09,-07:00,2026-04-06T22:26:09-07:00,0,0
style.css,50,css,70ce2537,Beliz Akbulut,2026-04-06,22:26:09,-07:00,2026-04-06T22:26:09-07:00,0,4
style.css,51,css,70ce2537,Beliz Akbulut,2026-04-06,22:26:09,-07:00,2026-04-06T22:26:09-07:00,2,12
style.css,52,css,70ce2537,Beliz Akbulut,2026-04-06,22:26:09,-07:00,2026-04-06T22:26:09-07:00,2,30
style.css,53,css,70ce2537,Beliz Akbulut,2026-04-06,22:26:09,-07:00,2026-04-06T22:26:09-07:00,2,7
style.css,54,css,70ce2537,Beliz Akbulut,2026-04-06,22:26:09,-07:00,2026-04-06T22:26:09-07:00,0,0
style.css,55,css,70ce2537,Beliz Akbulut,2026-04-06,22:26:09,-07:00,2026-04-06T22:26:09-07:00,0,5
style.css,56,css,70ce2537,Beliz Akbulut,2026-04-06,22:26:09,-07:00,2026-04-06T22:26:09-07:00,2,11
style.css,57,css,70ce2537,Beliz Akbulut,2026-04-06,22:26:09,-07:00,2026-04-06T22:26:09-07:00,2,29
style.css,58,css,70ce2537,Beliz Akbulut,2026-04-06,22:26:09,-07:00,2026-04-06T22:26:09-07:00,2,18
style.css,59,css,70ce2537,Beliz Akbulut,2026-04-06,22:26:09,-07:00,2026-04-06T22:26:09-07:00,0,0
style.css,60,css,a1a1c834,Beliz Akbulut,2026-04-09,12:39:56,-07:00,2026-04-09T12:39:56-07:00,0,0
style.css,61,css,a1a1c834,Beliz Akbulut,2026-04-09,12:39:56,-07:00,2026-04-09T12:39:56-07:00,0,9
style.css,62,css,a1a1c834,Beliz Akbulut,2026-04-09,12:39:56,-07:00,2026-04-09T12:39:56-07:00,2,12
style.css,63,css,a1a1c834,Beliz Akbulut,2026-04-09,12:39:56,-07:00,2026-04-09T12:39:56-07:00,2,58
